epoch,train_loss,train_acc,test_loss,test_acc
1,0.1696241844341159,0.9499666666666666,0.05779736915417016,0.981
2,0.05248418892081827,0.9841666666666666,0.03556021664966829,0.9881
3,0.03698092525787652,0.9884833333333334,0.035520900179469024,0.9888
4,0.027197567745655155,0.9913,0.03595138272796757,0.9881
5,0.02157031302866526,0.99305,0.03443590253428556,0.9888
6,0.015233582104480593,0.9948833333333333,0.033274867847625865,0.9897
7,0.013660910024912059,0.9954333333333333,0.03417399728221644,0.9894
8,0.010739727259675176,0.9966,0.04217059139507182,0.9872
9,0.00933943479056082,0.9966833333333334,0.042923529851430796,0.9876
10,0.007995276628844658,0.9974166666666666,0.04380835415173442,0.9885
